tweet,sentimiento,puntaje_positivo,puntaje_negativo,puntaje_neutral,tiempo_fuzzy,defuzzificación,sentimiento_defuzz,tiempo_defuzzificar,tiempo_total
i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,Positivo,0.4,0.0,0.618,1.9800005247816443e-05,5.87,Neutral,0.00013770000077784061,0.00015750000602565706
reading my kindle love it lee childs is good read,Positivo,0.5,0.0,0.53,8.700008038431406e-06,7.67,Positivo,6.289999873843044e-05,7.160000677686185e-05
ok first assesment of the kindle it fucking rocks,Positivo,0.2,0.0,0.784,8.100003469735384e-06,4.98,Neutral,5.6599994422867894e-05,6.469999789260328e-05
you will love your kindle I have had mine for a few months and never looked back the new big one is huge no need for remorse,Positivo,0.2,0.1,0.66,8.300004992634058e-06,4.88,Neutral,9.879999561235309e-05,0.00010710000060498714
fair enough but i have the kindle and i think it is perfect,Positivo,0.4,0.0,0.573,7.599999662488699e-06,5.87,Neutral,5.6900011259131134e-05,6.450001092161983e-05
no it is too big I am quite happy with the kindle,Positivo,0.3,0.1,0.592,8.200004231184721e-06,5.12,Neutral,5.129999772179872e-05,5.950000195298344e-05
fuck this economy i hate aig and their non loan given asses,Negativo,0.0,0.4,0.556,7.700000423938036e-06,3.09,Negativo,5.4100004490464926e-05,6.180000491440296e-05
jquery is my new best friend,Positivo,0.6,0.0,0.351,8.100003469735384e-06,7.67,Positivo,5.220000457484275e-05,6.0300008044578135e-05
loves twitter,Positivo,0.8,0.0,0.213,7.800001185387373e-06,7.6,Positivo,4.870000702794641e-05,5.6500008213333786e-05
how can you not love obama he makes jokes about himself,Positivo,0.1,0.2,0.626,8.300004992634058e-06,4.52,Neutral,5.319999763742089e-05,6.150000263005495e-05
i firmly believe that obama pelosi have zero desire to be civil it is a charade and a slogan but they want to destroy conservatism,Negativo,0.1,0.2,0.702,8.200004231184721e-06,4.52,Neutral,5.149999924469739e-05,5.970000347588211e-05
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,Positivo,0.0,0.0,1.0,7.299997378140688e-06,4.91,Neutral,6.590000702999532e-05,7.320000440813601e-05
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao,Positivo,0.3,0.0,0.663,7.700000423938036e-06,5.26,Neutral,5.6200005928985775e-05,6.390000635292381e-05
dear nike stop with the flywire that shit is a waste of science and ugly love,Negativo,0.2,0.4,0.325,8.000002708286047e-06,3.99,Neutral,8.529999468009919e-05,9.329999738838524e-05
lebron best athlete of our generation if not all time basketball related i do not want to get into inter sport debates about __,Positivo,0.2,0.0,0.795,7.800001185387373e-06,4.98,Neutral,5.740000051446259e-05,6.520000169984996e-05
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,Negativo,0.1,0.2,0.696,8.100003469735384e-06,4.52,Neutral,6.079999729990959e-05,6.890000076964498e-05
i love lebron,Positivo,0.8,0.0,0.192,7.800001185387373e-06,7.6,Positivo,4.999998782295734e-05,5.779998900834471e-05
lebron is a beast but I am still cheering the a til the end,Negativo,0.3,0.0,0.692,8.000002708286047e-06,5.26,Neutral,5.40999899385497e-05,6.209999264683574e-05
lebron is the boss,Positivo,0.0,0.0,1.0,7.700000423938036e-06,4.91,Neutral,6.079999729990959e-05,6.849999772384763e-05
lebron is a hometown hero to me lol i love the lakers but let s go cavs lol,Positivo,0.5,0.0,0.512,7.90000194683671e-06,7.67,Positivo,4.680000711232424e-05,5.470000905916095e-05
lebron and zydrunas are such an awesome duo,Positivo,0.4,0.0,0.631,7.499998901039362e-06,5.87,Neutral,5.830000736750662e-05,6.580000626854599e-05
lebron is a beast nobody in the nba comes even close,Positivo,0.0,0.0,1.0,7.499998901039362e-06,4.91,Neutral,5.870001041330397e-05,6.620000931434333e-05
downloading apps for my iphone so much fun there literally is an app for just about anything,Positivo,0.2,0.0,0.817,8.099988917820156e-06,4.98,Neutral,5.360000068321824e-05,6.16999896010384e-05
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing,Positivo,0.2,0.3,0.462,8.199989679269493e-06,4.11,Neutral,5.0000002374872565e-05,5.819999205414206e-05
awesome come back from via,Positivo,0.5,0.0,0.494,7.90000194683671e-06,7.67,Positivo,5.9999991208314896e-05,6.78999931551516e-05
in montreal for a long weekend of r amp r much needed,Positivo,0.0,0.0,1.0,7.300011930055916e-06,4.91,Neutral,6.049999501556158e-05,6.78000069456175e-05
booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv,Positivo,0.4,0.0,0.578,7.700000423938036e-06,5.87,Neutral,5.360000068321824e-05,6.130000110715628e-05
mluc customer innovation award winner booz allen hamilton,Positivo,0.7,0.0,0.336,8.200004231184721e-06,7.6,Positivo,4.6999994083307683e-05,5.5199998314492404e-05
i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake,Positivo,0.1,0.1,0.778,8.29999044071883e-06,4.81,Neutral,6.299999949987978e-05,7.129998994059861e-05
google is always a good place to look should ve mentioned i worked on the mustang w my dad,Positivo,0.2,0.0,0.838,8.200004231184721e-06,4.98,Neutral,5.499999679159373e-05,6.320000102277845e-05
played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone,Negativo,0.1,0.2,0.676,8.300004992634058e-06,4.52,Neutral,5.6500008213333786e-05,6.480001320596784e-05
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,Negativo,0.0,0.1,0.902,7.90000194683671e-06,4.81,Neutral,5.60000044060871e-05,6.390000635292381e-05
omg so bored amp my tattoooos are so itchy help aha,Negativo,0.2,0.3,0.497,8.300004992634058e-06,4.11,Neutral,5.780000356025994e-05,6.6100008552894e-05
I am itchy and miserable,Negativo,0.0,0.7,0.274,8.200004231184721e-06,1.86,Negativo,6.049999501556158e-05,6.86999992467463e-05
no I am not itchy for now maybe later lol,Negativo,0.4,0.2,0.468,8.199989679269493e-06,5.12,Neutral,5.439999222289771e-05,6.25999819021672e-05
rt i love the nerdy stanford human biology videos makes me miss school,Positivo,0.3,0.2,0.562,8.29999044071883e-06,4.79,Neutral,4.940001235809177e-05,5.77000027988106e-05
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,Positivo,0.1,0.2,0.677,8.200004231184721e-06,4.52,Neutral,5.160000000614673e-05,5.980000423733145e-05
I am listening to p y t by danny gokey lt lt lt aww he is so amazing i lt him so much,Positivo,0.2,0.0,0.777,7.90000194683671e-06,4.98,Neutral,5.5599986808374524e-05,6.349998875521123e-05
is going to sleep then on a bike ride,Positivo,0.0,0.0,1.0,7.700000423938036e-06,4.91,Neutral,5.8299992815591395e-05,6.599999323952943e-05
cant sleep my tooth is aching,Negativo,0.0,0.4,0.61,7.800001185387373e-06,3.09,Negativo,5.390000296756625e-05,6.170000415295362e-05
blah blah blah same old same old no plans today going back to sleep i guess,Negativo,0.0,0.4,0.632,9.399998816661537e-06,3.09,Negativo,5.3099996875971556e-05,6.249999569263309e-05
glad i didnt do bay to breakers today it is freaking degrees in san francisco wtf,Negativo,0.1,0.3,0.556,8.400005754083395e-06,3.99,Neutral,6.0699996538460255e-05,6.910000229254365e-05
obama administration must stop bonuses to aig ponzi schemers,Negativo,0.3,0.2,0.547,8.399991202168167e-06,4.79,Neutral,4.990000161342323e-05,5.8299992815591395e-05
started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig,Negativo,0.0,0.1,0.902,8.100003469735384e-06,4.81,Neutral,5.560000136028975e-05,6.370000483002514e-05
shaunwoo hate n on aig,Negativo,0.0,0.6,0.448,8.300004992634058e-06,1.72,Negativo,7.490000280085951e-05,8.320000779349357e-05
you will not regret going to see star trek it was awesome,Positivo,0.4,0.0,0.609,7.999988156370819e-06,5.87,Neutral,6.27999979769811e-05,7.079998613335192e-05
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,Negativo,0.0,0.1,0.87,8.099988917820156e-06,4.81,Neutral,5.679999594576657e-05,6.489998486358672e-05
highly recommend by malcolm gladwell,Positivo,0.4,0.0,0.589,9.000010322779417e-06,5.87,Neutral,5.4899996030144393e-05,6.390000635292381e-05
blink by malcolm gladwell amazing book and the tipping point,Positivo,0.3,0.0,0.703,7.800001185387373e-06,5.26,Neutral,5.26000076206401e-05,6.040000880602747e-05
malcolm gladwell might be my new man crush,Positivo,0.0,0.2,0.814,7.700000423938036e-06,4.52,Neutral,5.220000457484275e-05,5.990000499878079e-05
omg the commercials alone on espn are going to drive me nuts,Negativo,0.0,0.3,0.699,7.700000423938036e-06,3.99,Neutral,5.3100011427886784e-05,6.080001185182482e-05
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code,Positivo,0.4,0.0,0.638,7.800001185387373e-06,5.87,Neutral,5.360000068321824e-05,6.140000186860561e-05
hello twitter api,Positivo,0.0,0.0,1.0,7.299997378140688e-06,4.91,Neutral,5.709999823011458e-05,6.439999560825527e-05
because the twitter api is slow and most client s are not good,Negativo,0.0,0.2,0.821,7.800001185387373e-06,4.52,Neutral,5.200000305194408e-05,5.980000423733145e-05
yahoo answers can be a butt sometimes,Negativo,0.0,0.0,1.0,7.499998901039362e-06,4.91,Neutral,6.520000169984996e-05,7.270000060088933e-05
